dataset,example_id,k,query,gold_answer,full_prediction,chunk_id,chunk_text,segment_ids,gold_segment_ids,ablation_prediction,causal_label,comparison_method,comparison_score
fever,cf-fever-0,2,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 3
Myreth Brek was a renowned dimensional rheology researcher at Telmara University.

[Segment 2]
Title: Distractor 2
Quelax Czek was a renowned dimensional geophysics researcher at Vyrngate University.

[Segment 3]
Title: Distractor 4
Tavova Ford was a renowned dimensional geophysics researcher at Hexworth Centre for Advanced Studies.

[Segment 4]
Title: Myreth Trel - Evidence
Myreth Trel was a renowned catalytic synthesis researcher at Braxthorn Laboratory Complex.","0,1002,1003,1004",0,NOT_ENOUGH_INFO,1,label_exact,0.0
fever,cf-fever-0,2,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,1,"[Segment 5]
Title: Distractor 1
Velova Laine was a renowned dimensional geophysics researcher at Quintera Collegium.

[Segment 6]
Title: Distractor 0
Myreth Wick was a renowned lattice geophysics researcher at Braxthorn Research Foundation.","1000,1001",,REFUTES,0,label_exact,1.0
fever,cf-fever-0,4,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 3
Myreth Brek was a renowned dimensional rheology researcher at Telmara University.",1003,,REFUTES,0,label_exact,1.0
fever,cf-fever-0,4,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,1,"[Segment 2]
Title: Distractor 2
Quelax Czek was a renowned dimensional geophysics researcher at Vyrngate University.",1002,,REFUTES,0,label_exact,1.0
fever,cf-fever-0,4,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,2,"[Segment 3]
Title: Distractor 4
Tavova Ford was a renowned dimensional geophysics researcher at Hexworth Centre for Advanced Studies.

[Segment 4]
Title: Myreth Trel - Evidence
Myreth Trel was a renowned catalytic synthesis researcher at Braxthorn Laboratory Complex.","0,1004",0,NOT_ENOUGH_INFO,1,label_exact,0.0
fever,cf-fever-0,4,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,3,"[Segment 5]
Title: Distractor 1
Velova Laine was a renowned dimensional geophysics researcher at Quintera Collegium.

[Segment 6]
Title: Distractor 0
Myreth Wick was a renowned lattice geophysics researcher at Braxthorn Research Foundation.","1000,1001",,REFUTES,0,label_exact,1.0
fever,cf-fever-0,8,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 3
Myreth Brek was a renowned dimensional rheology researcher at Telmara University.",1003,,REFUTES,0,label_exact,1.0
fever,cf-fever-0,8,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,1,"[Segment 2]
Title: Distractor 2
Quelax Czek was a renowned dimensional geophysics researcher at Vyrngate University.",1002,,REFUTES,0,label_exact,1.0
fever,cf-fever-0,8,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,2,"[Segment 3]
Title: Distractor 4
Tavova Ford was a renowned dimensional geophysics researcher at Hexworth Centre for Advanced Studies.",1004,,REFUTES,0,label_exact,1.0
fever,cf-fever-0,8,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,3,"[Segment 4]
Title: Myreth Trel - Evidence
Myreth Trel was a renowned catalytic synthesis researcher at Braxthorn Laboratory Complex.",0,0,NOT_ENOUGH_INFO,1,label_exact,0.0
fever,cf-fever-0,8,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,4,"[Segment 5]
Title: Distractor 1
Velova Laine was a renowned dimensional geophysics researcher at Quintera Collegium.",1001,,REFUTES,0,label_exact,1.0
fever,cf-fever-0,8,Myreth Trel was a dimensional geophysics researcher.,REFUTES,REFUTES,5,"[Segment 6]
Title: Distractor 0
Myreth Wick was a renowned lattice geophysics researcher at Braxthorn Research Foundation.",1000,,REFUTES,0,label_exact,1.0
fever,cf-fever-1,2,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,0,"[Segment 1]
Title: Myreth Trel - Evidence
Myreth Trel was born in 1876 in Vrenneth, Hexland.

[Segment 2]
Title: Distractor 2
Myreth Feld was born in 1916 in Quelside, Pentharos.

[Segment 3]
Title: Distractor 3
Myreth Laine was born in 1966 in Yendrath, Hexland.

[Segment 4]
Title: Distractor 1
Myreth Brek was born in 1938 in Zinthari, Dunmarch.","0,1001,1002,1003",0,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,2,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,1,"[Segment 5]
Title: Distractor 4
Myreth Wick was born in 1925 in Yendrath, Pentharos.

[Segment 6]
Title: Distractor 0
Luxis Trel received the Quintera Distinction for contributions to temporal photonics.","1000,1004",,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,4,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,0,"[Segment 1]
Title: Myreth Trel - Evidence
Myreth Trel was born in 1876 in Vrenneth, Hexland.",0,0,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,4,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,1,"[Segment 2]
Title: Distractor 2
Myreth Feld was born in 1916 in Quelside, Pentharos.",1002,,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,4,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,2,"[Segment 3]
Title: Distractor 3
Myreth Laine was born in 1966 in Yendrath, Hexland.

[Segment 4]
Title: Distractor 1
Myreth Brek was born in 1938 in Zinthari, Dunmarch.","1001,1003",,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,4,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,3,"[Segment 5]
Title: Distractor 4
Myreth Wick was born in 1925 in Yendrath, Pentharos.

[Segment 6]
Title: Distractor 0
Luxis Trel received the Quintera Distinction for contributions to temporal photonics.","1000,1004",,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,8,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,0,"[Segment 1]
Title: Myreth Trel - Evidence
Myreth Trel was born in 1876 in Vrenneth, Hexland.",0,0,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,8,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,1,"[Segment 2]
Title: Distractor 2
Myreth Feld was born in 1916 in Quelside, Pentharos.",1002,,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,8,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,2,"[Segment 3]
Title: Distractor 3
Myreth Laine was born in 1966 in Yendrath, Hexland.",1003,,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,8,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,3,"[Segment 4]
Title: Distractor 1
Myreth Brek was born in 1938 in Zinthari, Dunmarch.",1001,,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,8,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,4,"[Segment 5]
Title: Distractor 4
Myreth Wick was born in 1925 in Yendrath, Pentharos.",1004,,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-1,8,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,5,"[Segment 6]
Title: Distractor 0
Luxis Trel received the Quintera Distinction for contributions to temporal photonics.",1000,,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-2,2,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 1
Luxion Brek was a renowned catalytic energetics researcher at Telmara Collegium.

[Segment 2]
Title: Distractor 3
Ilyova Thorne was a renowned lattice energetics researcher at Telmara Institute of Technology.

[Segment 3]
Title: Sorova Brek - Evidence
Sorova Brek was a renowned crystalline metallurgy researcher at Braxthorn Institute of Technology.","0,1001,1003",0,NOT_ENOUGH_INFO,1,label_exact,0.0
fever,cf-fever-2,2,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,1,"[Segment 4]
Title: Distractor 4
Myris Dann was a renowned lattice energetics researcher at Quintera Centre for Advanced Studies.

[Segment 5]
Title: Distractor 0
Sorova Feld was a renowned lattice kinetics researcher at Kessmer Observatory.

[Segment 6]
Title: Distractor 2
Holeth Brek was a renowned dimensional energetics researcher at Northwell Research Foundation.","1000,1002,1004",,REFUTES,0,label_exact,1.0
fever,cf-fever-2,4,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 1
Luxion Brek was a renowned catalytic energetics researcher at Telmara Collegium.",1001,,REFUTES,0,label_exact,1.0
fever,cf-fever-2,4,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,1,"[Segment 2]
Title: Distractor 3
Ilyova Thorne was a renowned lattice energetics researcher at Telmara Institute of Technology.",1003,,REFUTES,0,label_exact,1.0
fever,cf-fever-2,4,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,2,"[Segment 3]
Title: Sorova Brek - Evidence
Sorova Brek was a renowned crystalline metallurgy researcher at Braxthorn Institute of Technology.

[Segment 4]
Title: Distractor 4
Myris Dann was a renowned lattice energetics researcher at Quintera Centre for Advanced Studies.","0,1004",0,NOT_ENOUGH_INFO,1,label_exact,0.0
fever,cf-fever-2,4,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,3,"[Segment 5]
Title: Distractor 0
Sorova Feld was a renowned lattice kinetics researcher at Kessmer Observatory.

[Segment 6]
Title: Distractor 2
Holeth Brek was a renowned dimensional energetics researcher at Northwell Research Foundation.","1000,1002",,REFUTES,0,label_exact,1.0
fever,cf-fever-2,8,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 1
Luxion Brek was a renowned catalytic energetics researcher at Telmara Collegium.",1001,,REFUTES,0,label_exact,1.0
fever,cf-fever-2,8,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,1,"[Segment 2]
Title: Distractor 3
Ilyova Thorne was a renowned lattice energetics researcher at Telmara Institute of Technology.",1003,,REFUTES,0,label_exact,1.0
fever,cf-fever-2,8,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,2,"[Segment 3]
Title: Sorova Brek - Evidence
Sorova Brek was a renowned crystalline metallurgy researcher at Braxthorn Institute of Technology.",0,0,NOT_ENOUGH_INFO,1,label_exact,0.0
fever,cf-fever-2,8,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,3,"[Segment 4]
Title: Distractor 4
Myris Dann was a renowned lattice energetics researcher at Quintera Centre for Advanced Studies.",1004,,REFUTES,0,label_exact,1.0
fever,cf-fever-2,8,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,4,"[Segment 5]
Title: Distractor 0
Sorova Feld was a renowned lattice kinetics researcher at Kessmer Observatory.",1000,,REFUTES,0,label_exact,1.0
fever,cf-fever-2,8,Sorova Brek was a lattice energetics researcher.,REFUTES,REFUTES,5,"[Segment 6]
Title: Distractor 2
Holeth Brek was a renowned dimensional energetics researcher at Northwell Research Foundation.",1002,,REFUTES,0,label_exact,1.0
fever,cf-fever-3,2,Sorova Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,0,"[Segment 1]
Title: Distractor 0
Quelax Stow and Sorova Brek both conducted research at Braxthorn Observatory.

[Segment 2]
Title: Distractor 2
Sorova Ghent was a renowned catalytic kinetics researcher at Vyrngate Centre for Advanced Studies.

[Segment 3]
Title: Sorova Brek - Evidence
Sorova Brek was born in 1938 in Zinthari, Pentharos.","0,1000,1002",0,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-3,2,Sorova Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,1,"[Segment 4]
Title: Distractor 4
Sorova Feld and Carnax Ford both conducted research at Hexworth Laboratory Complex.

[Segment 5]
Title: Distractor 1
Sorova Feld was a renowned lattice kinetics researcher at Kessmer Observatory.

[Segment 6]
Title: Distractor 3
Sorova Ghent and Tavara Quist both conducted research at Valorian University.","1001,1003,1004",,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-3,4,Sorova Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,0,"[Segment 1]
Title: Distractor 0
Quelax Stow and Sorova Brek both conducted research at Braxthorn Observatory.",1000,,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,cf-fever-3,4,Sorova Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,1,"[Segment 2]
Title: Distractor 2
Sorova Ghent was a renowned catalytic kinetics researcher at Vyrngate Centre for Advanced Studies.",1002,,NOT_ENOUGH_INFO,0,label_exact,1.0
