dataset,example_id,query,gold_answer,task_type,model,prediction_raw,prediction_normalized,is_correct,n_segments,prompt_tokens,time_seconds
fever,cf-fever-0,Myreth Trel was a dimensional geophysics researcher.,REFUTES,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Myreth Trel was a dimensional geophysics researcher."" However, the given context does not",NOT_ENOUGH_INFO,False,23,840,19.73
fever,cf-fever-1,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Myreth Trel was nominated for an international distinction in a related field."" However, the given",NOT_ENOUGH_INFO,True,23,862,6.54
fever,cf-fever-2,Sorova Brek was a lattice energetics researcher.,REFUTES,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Sorova Brek was a lattice energetics researcher."" However, upon examining the provided segments",NOT_ENOUGH_INFO,False,23,843,108.60
fever,cf-fever-3,Sorova Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that Sorova Brek spent a sabbatical at an undisclosed foreign institution. However, the given context does",NOT_ENOUGH_INFO,True,23,833,23.13
fever,cf-fever-4,Kethara Czek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Kethara Czek spent a sabbatical at an undisclosed foreign institution."" However, the given",NOT_ENOUGH_INFO,True,23,840,12.31
fever,cf-fever-5,"Kethara Czek was born in Quelside, Arkessa.",SUPPORTS,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that Kethara Czek was born in Quelside, Arkessa. However, upon examining the provided",NOT_ENOUGH_INFO,False,23,890,8.37
fever,cf-fever-6,Jevel Feld spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Jevel Feld spent a sabbatical at an undisclosed foreign institution."" However, the given context does",NOT_ENOUGH_INFO,True,23,808,7.74
fever,cf-fever-7,"Jevel Feld was born in Plyrath, Queloria.",REFUTES,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Jevel Feld was born in Plyrath, Queloria."" However, upon examining the provided",NOT_ENOUGH_INFO,False,23,882,27.93
fever,cf-fever-8,Carnax Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Carnax Trel was nominated for an international distinction in a related field."" However, the given",NOT_ENOUGH_INFO,True,23,861,17.74
fever,cf-fever-9,Carnax Trel spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that Carnax Trel spent a sabbatical at an undisclosed foreign institution. However, the provided text does",NOT_ENOUGH_INFO,True,23,824,8.81
fever,cf-fever-10,Zaren Stow published a controversial paper on theoretical applications.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Zaren Stow published a controversial paper on theoretical applications."" However, the given context does not provide",NOT_ENOUGH_INFO,True,23,822,5.36
fever,cf-fever-11,"Zaren Stow was born in Zinthari, Brelland.",REFUTES,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Zaren Stow was born in Zinthari, Brelland."" However, there is not enough",NOT_ENOUGH_INFO,False,23,884,29.30
fever,cf-fever-12,Zaran Rieth was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Zaran Rieth was nominated for an international distinction in a related field."" However, the given context",NOT_ENOUGH_INFO,True,23,836,14.40
fever,cf-fever-13,"Zaran Rieth was born in Velquora, Ostovia.",SUPPORTS,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that Zaran Rieth was born in Velquora, Ostovia. However, upon reviewing all the",NOT_ENOUGH_INFO,False,23,884,14.88
fever,cf-fever-14,Dreven Wick was a subaquatic topology researcher.,REFUTES,classification,Qwen/Qwen2.5-1.5B-Instruct,"NOT_ENOUGH_INFO

Explanation:
The claim states that ""Dreven Wick was a subaquatic topology researcher."" However, the provided context does not contain",NOT_ENOUGH_INFO,False,23,814,10.52
