dataset,example_id,k,query,gold_answer,full_prediction,chunk_id,chunk_text,segment_ids,gold_segment_ids,ablation_prediction,causal_label,comparison_method,comparison_score
fever,fever-synth-0000,2,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,0,"[Segment 1]
Title: Distractor 5
Mount Everest is the tallest mountain above sea level at 8,849 meters.

[Segment 2]
Title: Distractor 4
The Mariana Trench reaches a depth of about 36,000 feet below sea level.

[Segment 3]
Title: Distractor 2
The speed of light in a vacuum is approximately 299,792 kilometers per second.

[Segment 4]
Title: Distractor 7
The Amazon River is the largest river by discharge volume of water in the world.

[Segment 5]
Title: Distractor 1
The Eiffel Tower is located in Paris, France, and was built in 1889.

[Segment 6]
Title: Albert Einstein - Evidence
Albert Einstein was a renowned physicist.","0,1001,1002,1004,1005,1007",0,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,2,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,1,"Historical records confirm that Albert Einstein developed the theory of relativity.

This contribution significantly advanced the field.

[Segment 7]
Title: Distractor 6
Tectonic plates float on the semi-fluid asthenosphere beneath the lithosphere.

[Segment 8]
Title: Distractor 3
Photosynthesis converts carbon dioxide and water into glucose and oxygen.

[Segment 9]
Title: Distractor 0
The Great Wall of China stretches over 13,000 miles across northern China.","0,1000,1003,1006",0,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,4,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,0,"[Segment 1]
Title: Distractor 5
Mount Everest is the tallest mountain above sea level at 8,849 meters.

[Segment 2]
Title: Distractor 4
The Mariana Trench reaches a depth of about 36,000 feet below sea level.

[Segment 3]
Title: Distractor 2
The speed of light in a vacuum is approximately 299,792 kilometers per second.","1002,1004,1005",,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,4,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,1,"[Segment 4]
Title: Distractor 7
The Amazon River is the largest river by discharge volume of water in the world.

[Segment 5]
Title: Distractor 1
The Eiffel Tower is located in Paris, France, and was built in 1889.

[Segment 6]
Title: Albert Einstein - Evidence
Albert Einstein was a renowned physicist.","0,1001,1007",0,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,4,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,2,"Historical records confirm that Albert Einstein developed the theory of relativity.

This contribution significantly advanced the field.",0,0,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,4,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,3,"[Segment 7]
Title: Distractor 6
Tectonic plates float on the semi-fluid asthenosphere beneath the lithosphere.

[Segment 8]
Title: Distractor 3
Photosynthesis converts carbon dioxide and water into glucose and oxygen.

[Segment 9]
Title: Distractor 0
The Great Wall of China stretches over 13,000 miles across northern China.","1000,1003,1006",,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,8,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,0,"[Segment 1]
Title: Distractor 5
Mount Everest is the tallest mountain above sea level at 8,849 meters.",1005,,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,8,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,1,"[Segment 2]
Title: Distractor 4
The Mariana Trench reaches a depth of about 36,000 feet below sea level.",1004,,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,8,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,2,"[Segment 3]
Title: Distractor 2
The speed of light in a vacuum is approximately 299,792 kilometers per second.",1002,,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,8,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,3,"[Segment 4]
Title: Distractor 7
The Amazon River is the largest river by discharge volume of water in the world.",1007,,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,8,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,4,"[Segment 5]
Title: Distractor 1
The Eiffel Tower is located in Paris, France, and was built in 1889.",1001,,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,8,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,5,"[Segment 6]
Title: Albert Einstein - Evidence
Albert Einstein was a renowned physicist.

Historical records confirm that Albert Einstein developed the theory of relativity.",0,0,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,8,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,6,"This contribution significantly advanced the field.

[Segment 7]
Title: Distractor 6
Tectonic plates float on the semi-fluid asthenosphere beneath the lithosphere.","0,1006",0,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0000,8,Albert Einstein developed the theory of relativity.,SUPPORTS,SUPPORTS,7,"[Segment 8]
Title: Distractor 3
Photosynthesis converts carbon dioxide and water into glucose and oxygen.

[Segment 9]
Title: Distractor 0
The Great Wall of China stretches over 13,000 miles across northern China.","1000,1003",,SUPPORTS,0,label_exact,1.0
fever,fever-synth-0001,2,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 7
Global average temperatures have risen by about 1.1 degrees Celsius since 1850.

[Segment 2]
Title: Distractor 4
The Eiffel Tower is located in Paris, France, and was built in 1889.

[Segment 3]
Title: Distractor 3
The Amazon River is the largest river by discharge volume of water in the world.

[Segment 4]
Title: Distractor 1
Mount Everest is the tallest mountain above sea level at 8,849 meters.

[Segment 5]
Title: Marie Curie - Evidence
Marie Curie was a renowned chemist.

Historical records confirm that Marie Curie discovered radium and polonium.","0,1001,1003,1004,1007",0,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,2,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,1,"This contribution significantly advanced the field.

[Segment 6]
Title: Distractor 2
Jupiter is the largest planet in our solar system with a mass of 1.898e27 kg.

[Segment 7]
Title: Distractor 0
Plate tectonics theory explains the movement of Earth's lithospheric plates.

[Segment 8]
Title: Distractor 5
The Mariana Trench reaches a depth of about 36,000 feet below sea level.

[Segment 9]
Title: Distractor 6
The Great Wall of China stretches over 13,000 miles across northern China.","0,1000,1002,1005,1006",0,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,4,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 7
Global average temperatures have risen by about 1.1 degrees Celsius since 1850.

[Segment 2]
Title: Distractor 4
The Eiffel Tower is located in Paris, France, and was built in 1889.

[Segment 3]
Title: Distractor 3
The Amazon River is the largest river by discharge volume of water in the world.","1003,1004,1007",,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,4,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,1,"[Segment 4]
Title: Distractor 1
Mount Everest is the tallest mountain above sea level at 8,849 meters.

[Segment 5]
Title: Marie Curie - Evidence
Marie Curie was a renowned chemist.","0,1001",0,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,4,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,2,"Historical records confirm that Marie Curie discovered radium and polonium.

This contribution significantly advanced the field.",0,0,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,4,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,3,"[Segment 6]
Title: Distractor 2
Jupiter is the largest planet in our solar system with a mass of 1.898e27 kg.

[Segment 7]
Title: Distractor 0
Plate tectonics theory explains the movement of Earth's lithospheric plates.

[Segment 8]
Title: Distractor 5
The Mariana Trench reaches a depth of about 36,000 feet below sea level.

[Segment 9]
Title: Distractor 6
The Great Wall of China stretches over 13,000 miles across northern China.","1000,1002,1005,1006",,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,8,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,0,"[Segment 1]
Title: Distractor 7
Global average temperatures have risen by about 1.1 degrees Celsius since 1850.",1007,,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,8,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,1,"[Segment 2]
Title: Distractor 4
The Eiffel Tower is located in Paris, France, and was built in 1889.",1004,,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,8,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,2,"[Segment 3]
Title: Distractor 3
The Amazon River is the largest river by discharge volume of water in the world.",1003,,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,8,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,3,"[Segment 4]
Title: Distractor 1
Mount Everest is the tallest mountain above sea level at 8,849 meters.",1001,,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,8,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,4,"[Segment 5]
Title: Marie Curie - Evidence
Marie Curie was a renowned chemist.",0,0,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,8,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,5,"Historical records confirm that Marie Curie discovered radium and polonium.

This contribution significantly advanced the field.",0,0,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,8,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,6,"[Segment 6]
Title: Distractor 2
Jupiter is the largest planet in our solar system with a mass of 1.898e27 kg.

[Segment 7]
Title: Distractor 0
Plate tectonics theory explains the movement of Earth's lithospheric plates.","1000,1002",,REFUTES,0,label_exact,1.0
fever,fever-synth-0001,8,Marie Curie never discovered radium and polonium.,REFUTES,REFUTES,7,"[Segment 8]
Title: Distractor 5
The Mariana Trench reaches a depth of about 36,000 feet below sea level.

[Segment 9]
Title: Distractor 6
The Great Wall of China stretches over 13,000 miles across northern China.","1005,1006",,REFUTES,0,label_exact,1.0
fever,fever-synth-0002,2,Isaac Newton was involved in a classified government project.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,0,"[Segment 1]
Title: Isaac Newton - Evidence
Isaac Newton was a renowned mathematician.

Historical records confirm that Isaac Newton formulated the laws of motion.

This contribution significantly advanced the field.

[Segment 2]
Title: Distractor 5
The Great Wall of China stretches over 13,000 miles across northern China.

[Segment 3]
Title: Distractor 4
Jupiter is the largest planet in our solar system with a mass of 1.898e27 kg.

[Segment 4]
Title: Distractor 3
The International Space Station orbits Earth approximately every 90 minutes.","0,1003,1004,1005",0,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,fever-synth-0002,2,Isaac Newton was involved in a classified government project.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,1,"[Segment 5]
Title: Distractor 2
Plate tectonics theory explains the movement of Earth's lithospheric plates.

[Segment 6]
Title: Distractor 6
Photosynthesis converts carbon dioxide and water into glucose and oxygen.

[Segment 7]
Title: Distractor 1
The Eiffel Tower is located in Paris, France, and was built in 1889.

[Segment 8]
Title: Distractor 0
Global average temperatures have risen by about 1.1 degrees Celsius since 1850.","1000,1001,1002,1006",,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,fever-synth-0002,4,Isaac Newton was involved in a classified government project.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,0,"[Segment 1]
Title: Isaac Newton - Evidence
Isaac Newton was a renowned mathematician.

Historical records confirm that Isaac Newton formulated the laws of motion.",0,0,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,fever-synth-0002,4,Isaac Newton was involved in a classified government project.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,1,"This contribution significantly advanced the field.

[Segment 2]
Title: Distractor 5
The Great Wall of China stretches over 13,000 miles across northern China.","0,1005",0,NOT_ENOUGH_INFO,0,label_exact,1.0
fever,fever-synth-0002,4,Isaac Newton was involved in a classified government project.,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO,2,"[Segment 3]
Title: Distractor 4
Jupiter is the largest planet in our solar system with a mass of 1.898e27 kg.

[Segment 4]
Title: Distractor 3
The International Space Station orbits Earth approximately every 90 minutes.

[Segment 5]
Title: Distractor 2
Plate tectonics theory explains the movement of Earth's lithospheric plates.","1002,1003,1004",,NOT_ENOUGH_INFO,0,label_exact,1.0
