dataset,example_id,query,gold_answer,task_type,model,prediction_raw,prediction_normalized,is_correct,n_segments,prompt_tokens,time_seconds
fever,cf-fever-0,Myreth Trel was a dimensional geophysics researcher.,REFUTES,classification,gpt2,"[Segment 29]

Title: Distractor 8

Myreth Brek was a renowned resonant mechanics researcher at Telmara University.",NO_LABEL,False,30,992,1.90
fever,cf-fever-1,Myreth Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,gpt2,"Myreth Laine was born in 1825 in Varnheim, Varnheim.

[Segment 31]

Title: Distractor",NO_LABEL,False,30,992,1.41
fever,cf-fever-2,Sorova Brek was a lattice energetics researcher.,REFUTES,classification,gpt2,"a Institute of Technology.

[Segment 29]

Title: Distractor 5
Sorova Feld was a renowned lattice optics researcher at",NO_LABEL,False,30,992,0.84
fever,cf-fever-3,Sorova Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,gpt2,"Distractor 7

Sorova Brek was a renowned resonant thermology researcher at Kessmer Polytechnical Institute.

[Segment 30",NO_LABEL,False,30,992,0.70
fever,cf-fever-4,Kethara Czek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,gpt2,"subaquatic thermology researcher at Valorian Academy of Sciences.

[Segment 29]

Title: Distractor 15

Kethara",NO_LABEL,False,30,992,0.68
fever,cf-fever-5,"Kethara Czek was born in Quelside, Arkessa.",SUPPORTS,classification,gpt2,"ori Voss was born in 1848 in Quelside, Ostovia.

[Segment 31]

Title: Distractor 6",NO_LABEL,False,30,992,0.65
fever,cf-fever-6,Jevel Feld spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,gpt2,"ology researcher at Duskhollow Institute of Technology.

[Segment 30]

Title: Distractor 8

Kethion Feld was",NO_LABEL,False,30,992,0.69
fever,cf-fever-7,"Jevel Feld was born in Plyrath, Queloria.",REFUTES,classification,gpt2,"inan Marr was born in 1859 in Brelmoor, Queloria.

[Segment 31]

Title: Distractor",NO_LABEL,False,30,992,0.67
fever,cf-fever-8,Carnax Trel was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,gpt2,"essmer Award for contributions to subaquatic kinetics.

[Segment 30]

Title: Distractor 18

Carnax Bre",NO_LABEL,False,30,992,0.64
fever,cf-fever-9,Carnax Trel spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,gpt2,"renowned subaquatic kinetics researcher at Northwell Collegium.

[Segment 30]

Title: Distractor 9
Carnax Bre",NO_LABEL,False,30,992,0.64
fever,cf-fever-10,Zaren Stow published a controversial paper on theoretical applications.,NOT_ENOUGH_INFO,classification,gpt2,"Stow was a renowned subaquatic kinetics researcher at Kessmer Institute of Technology.

[Segment 30]

Title: Distractor",NO_LABEL,False,30,992,0.65
fever,cf-fever-11,"Zaren Stow was born in Zinthari, Brelland.",REFUTES,classification,gpt2,"was born in 1819 in Zinthari, Dunmarch.

[Segment 31]

Title: Distractor 2

Soren",NO_LABEL,False,30,992,0.71
fever,cf-fever-12,Zaran Rieth was nominated for an international distinction in a related field.,NOT_ENOUGH_INFO,classification,gpt2,"[Segment 29]

Title: Distractor 2

Zaran Czek received the Quintera Distinction for contributions to anisotropic kin",NO_LABEL,False,30,992,0.66
fever,cf-fever-13,"Zaran Rieth was born in Velquora, Ostovia.",SUPPORTS,classification,gpt2,"oslav Rieth was born in 1848 in Velquora, Brelland.

[Segment 31]

Title: Distractor 20",NO_LABEL,False,30,992,0.73
fever,cf-fever-14,Dreven Wick was a subaquatic topology researcher.,REFUTES,classification,gpt2,"Carnax Laine was a renowned spectral topology researcher at Duskhollow Research Foundation.

[Segment 30]

Title: Dist",NO_LABEL,False,30,992,0.70
fever,cf-fever-15,Dreven Wick collaborated on a classified research initiative.,NOT_ENOUGH_INFO,classification,gpt2,-Klein-Klein-Klein-Klein-Klein-Klein-Klein-Klein-Klein-Klein-K,NO_LABEL,False,30,992,0.66
fever,cf-fever-16,Tavara Marr was a stochastic dynamics researcher.,SUPPORTS,classification,gpt2,"at Telmara Academy of Sciences.

[Segment 30]

Title: Distractor 23

Wexeth Voss was a renowned",NO_LABEL,False,30,992,0.65
fever,cf-fever-17,"Tavara Marr was born in Crosshelm, Hexland.",SUPPORTS,classification,gpt2,"[Segment 1]

Title: Distractor 1

Tavara Marr was born in 1875 in Crosshelm, Varn",NO_LABEL,False,30,983,1.05
fever,cf-fever-18,Omion Phen was a subaquatic energetics researcher.,SUPPORTS,classification,gpt2,"Distractor 2
Omen Ford was a renowned harmonic energetics researcher at Valorian Research Foundation.

[Segment 30]

Title:",NO_LABEL,False,30,992,0.80
fever,cf-fever-19,"Omion Phen was born in Holvaine, Varnheim.",REFUTES,classification,gpt2,"ractor 6
Sorax Ford was born in 1826 in Holvaine, Queloria.

[Segment 31]

Title:",NO_LABEL,False,30,992,0.66
fever,cf-fever-20,Falara Ghent published a controversial paper on theoretical applications.,NOT_ENOUGH_INFO,classification,gpt2,"Title: Distractor 17
Carnan Graff was born in 1819 in Varnheim.

[Segment 31]

Title",NO_LABEL,False,30,992,0.65
fever,cf-fever-21,"Falara Ghent was born in Yendrath, Dunmarch.",SUPPORTS,classification,gpt2,"Yendrath, Brelland.

[Segment 30]

Title: Distractor 11
Falara Ghent was born in 18",NO_LABEL,False,30,992,0.67
fever,cf-fever-22,Luxion Brek was a harmonic topology researcher.,REFUTES,classification,gpt2,"oss discovered the Brek matrix, which advanced the field of harmonic topology.

[Segment 30]

Title: Distractor 23
L",NO_LABEL,False,30,992,0.63
fever,cf-fever-23,Luxion Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,gpt2,": Distractor 1
Luxion Dann was a renowned anisotropic biochemistry researcher at Quintera Institute of Technology.

[Segment",NO_LABEL,False,30,992,0.62
fever,cf-fever-24,Kethara Graff was a chromatic optics researcher.,REFUTES,classification,gpt2,"Title: Distractor 9

Kethara Graff was a renowned anisotropic optics researcher at Telmara Polytechnical Institute.

[",NO_LABEL,False,30,992,0.64
fever,cf-fever-25,"Kethara Graff was born in Velquora, Arkessa.",REFUTES,classification,gpt2,"ora, Brelland.

[Segment 31]

Title: Distractor 24

Kethara Graff was born in 1848",NO_LABEL,False,30,992,0.68
fever,cf-fever-26,Renel Brek collaborated on a classified research initiative.,NOT_ENOUGH_INFO,classification,gpt2,"Carnen Brek and Tavis Voss both conducted research at Vyrngate Observatory.

[Segment 30]

Title: Dist",NO_LABEL,False,30,992,0.70
fever,cf-fever-27,Renel Brek spent a sabbatical at an undisclosed foreign institution.,NOT_ENOUGH_INFO,classification,gpt2,"k was a renowned spatial and temporal synthesis researcher at Duskhollow Laboratory Complex.

[Segment 30]

Title: Distractor 15",NO_LABEL,False,30,992,0.72
fever,cf-fever-28,Falara Rieth was a chromatic topology researcher.,REFUTES,classification,gpt2,"was a renowned chromatic topology researcher at Valorian University.

[Segment 30]

Title: Distractor 24
Carnen G",NO_LABEL,False,30,992,0.64
fever,cf-fever-29,"Falara Rieth was born in Tarquessa, Solvania.",REFUTES,classification,gpt2,"Title: Distractor 20

Wexion Voss was born in 1859 in Varnheim.

[Segment 31]",NO_LABEL,False,30,992,0.64
fever,cf-fever-30,Neven Rieth was a entropic rheology researcher.,REFUTES,classification,gpt2,"ieth discovered the Rieth equation, which advanced the field of entropic synthesis.

[Segment 29]

Title: Distractor 9",NO_LABEL,False,30,992,0.64
fever,cf-fever-31,Neven Rieth published a controversial paper on theoretical applications.,NOT_ENOUGH_INFO,classification,gpt2,"Neven Graff was born in 1876 in Solkaris, Pentharos.

[Segment 30]

Title:",NO_LABEL,False,30,992,0.68
fever,cf-fever-32,Brinova Quist was a crystalline ecology researcher.,REFUTES,classification,gpt2,"ecologist at Valorian Research Foundation.

[Segment 30]

Title: Distractor 22
Luxion Rieth was a renowned harmonic",NO_LABEL,False,30,992,0.65
fever,cf-fever-33,"Brinova Quist was born in Zinthari, Ostovia.",REFUTES,classification,gpt2,": Distractor 5
Jevis Quist was born in 1848 in Zinthari, Ostovia.

[Segment 31]",NO_LABEL,False,30,992,0.64
